Pattern,Variant,Total_Bytes,Text_Bytes
digits,Baseline,17112,4099
digits,SIMD,17344,6585
lowercase,Baseline,17112,4083
lowercase,SIMD,17344,5553
alphanumeric,Baseline,17120,4115
alphanumeric,SIMD,17392,5540
decimal,Baseline,17496,5923
decimal,SIMD,25920,13611
hex,Baseline,17112,4115
hex,SIMD,17384,5540
identifier,Baseline,17120,4259
identifier,SIMD,17120,5041
alt_4,Baseline,17112,4115
alt_4,SIMD,17392,5665
alt_8,Baseline,17112,4099
alt_8,SIMD,22440,8768
url,Baseline,17112,4419
url,SIMD,17336,5809
lazy_star,Baseline,17112,4147
lazy_star,SIMD,17112,4147
lookahead,Baseline,17112,4051
lookahead,SIMD,17112,4051
group_repeat,Baseline,17120,4227
group_repeat,SIMD,17120,4227
