Pattern,Category,Variant,Compile_Time_s,Binary_Size_KB
digits,Simple,Baseline,.663,15.8
digits,Simple,SIMD,.696,16.0
lowercase,Simple,Baseline,.664,15.8
lowercase,Simple,SIMD,.704,16.0
uppercase,Simple,Baseline,.661,15.8
uppercase,Simple,SIMD,.705,16.0
vowels,Simple,Baseline,.689,15.8
vowels,Simple,SIMD,.742,16.8
alphanumeric,Simple,Baseline,.698,15.8
alphanumeric,Simple,SIMD,.723,16.2
decimal,Complex,Baseline,.739,16.2
decimal,Complex,SIMD,.797,16.6
hex,Complex,Baseline,.699,15.8
hex,Complex,SIMD,.721,16.2
identifier,Complex,Baseline,.786,15.8
identifier,Complex,SIMD,.809,16.2
url,Complex,Baseline,.752,15.8
url,Complex,SIMD,.795,16.0
key_value,Complex,Baseline,.737,15.8
key_value,Complex,SIMD,.832,16.3
ipv4,Complex,Baseline,.888,17.0
ipv4,Complex,SIMD,1.066,25.4
alt_8,Behemoth,Baseline,.822,15.8
alt_8,Behemoth,SIMD,.929,16.8
uuid,Behemoth,Baseline,1.083,15.8
uuid,Behemoth,SIMD,3.111,32.4
email,Behemoth,Baseline,.991,16.3
email,Behemoth,SIMD,1.093,17.2
http_log,Behemoth,Baseline,.966,15.8
http_log,Behemoth,SIMD,1.215,20.9
config,Behemoth,Baseline,.916,15.8
config,Behemoth,SIMD,.980,17.1
datetime,Behemoth,Baseline,1.064,15.8
datetime,Behemoth,SIMD,23.810,72.2
