[0-2]*_32	[0-2]*	4.73719	Tiny range 0-2 star	19.4023	4.09
[0-2]+_32	[0-2]+	4.21109	Tiny range 0-2 plus	13.9013	3.30
[02468]*_32	[02468]*	5.26388	Even digits star (32)	17.9149	3.40
[02468]+_32	[02468]+	2.43389	Even digits plus (32)	18.1704	7.46
[0-9]*_256	[0-9]*	12.4933	Digits star (256)	71.9901	5.76
[0-9]+_256	[0-9]+	6.24018	Digits plus (256)	99.2721	15.90
[0-9]*_32	9*	5.26388	Single char 9 star	9.86528	1.87
[0-9]+_32	9+	4.21149	Single char 9 plus	9.59438	2.27
[0-9a-f]*_32	9*	5.26438	Single char 9 star	9.87209	1.87
[0-9a-f]+_32	9+	4.254	Single char 9 plus	18.8817	4.43
[0-9a-f]*_64	a*	5.78998	Single a star (64)	18.655	3.22
[0-9a-fA-F]*_32	9*	5.26369	Single char 9 star	9.85627	1.87
[0-9a-fA-F]+_32	9+	4.32529	Single char 9 plus	9.59777	2.21
[13579]*_32	9*	2.70289	Single char 9 star	9.90288	3.66
[13579]+_32	9+	4.21149	Single char 9 plus	9.58567	2.27
9*_32	9*	2.70289	Single char 9 star	9.85967	3.64
9+_32	9+	4.21148	Single char 9 plus	9.59258	2.27
a*_128	a*	4.55648	Single a star (128)	36.4779	8.00
a+_128	a+	8.02168	Single a plus (128)	35.8378	4.46
a*_16	a*	3.68519	Single a star (16)	8.64899	2.34
a+_16	a+	2.1623	Single a plus (16)	8.64909	3.99
a*_256	a*	6.21659	Single a star (256)	141.385	22.74
a+_256	a+	6.09058	Single a plus (256)	71.9587	11.81
a*_32	a*	4.73718	Single char a star	9.58707	2.02
a+_32	a+	4.73738	Single char a plus	18.3863	3.88
A*_32	A*	4.73738	Single char A star	9.52949	2.01
A+_32	A+	4.73789	Single char A plus	36.1676	7.63
a*_64	a*	5.79019	Single a star (64)	37.3261	6.44
a+_64	a+	2.70289	Single a plus (64)	36.0234	13.32
[a-bA-Bd-eD-Eg-hG-Hi-jI-Jl-mL-Mn-oN-Op-qP-Q]*_32	a*	4.73769	Single char a star	9.70908	2.04
[a-bA-Bd-eD-Eg-hG-Hi-jI-Jl-mL-Mn-oN-Op-qP-Q]*_64	a*	5.79029	Single a star (64)	18.5683	3.20
[a-c]*_32	a*	2.43259	Single char a star	9.52898	3.91
[a-c]+_32	a+	2.43279	Single char a plus	18.3827	7.55
[a-cA-Ce-gE-Gj-lJ-Lm-oM-Op-rP-R]*_32	a*	4.73769	Single char a star	9.76028	2.06
[a-cA-Ce-gE-Gj-lJ-Lm-oM-Op-rP-R]*_64	a*	2.97319	Single a star (64)	18.6707	6.27
[a-dA-Dg-jG-J]*_32	a*	2.43269	Single char a star	9.82707	4.03
[a-dA-Dg-jG-J]*_64	a*	5.90948	Single a star (64)	18.5688	3.14
[a-e]*_32	a*	4.73758	Single char a star	18.8743	3.98
[a-e]+_32	a+	4.86608	Single char a plus	18.3226	3.76
[aeiou]*_32	a*	4.73729	Single char a star	18.6438	3.93
[aeiou]+_32	a+	4.86559	Single char a plus	37.2244	7.65
[aeiou]*_64	a*	5.86049	Single a star (64)	18.5881	3.17
[aeiouAEIOU]*_32	a*	4.73899	Single char a star	9.59929	2.02
alternation_4	Tom	Sawyer	Huckleberry	Sawyer	
any_char_group	.{0,2}(Tom	Sawyer	Huckleberry	Sawyer	
any_char_range	.{2,4}(Tom	Sawyer	Huckleberry	Sawyer	
[a-z]*_128	a*	2.9734	Single a star (128)	36.311	12.21
[a-z]+_128	a+	4.05429	Single a plus (128)	35.8498	8.84
[a-z]*_16	a*	3.6849	Single a star (16)	9.23758	2.50
[a-z]+_16	a+	2.1624	Single a plus (16)	8.78538	4.06
[a-z]*_256	a*	6.21658	Single a star (256)	141.652	22.78
[a-z]+_256	a+	5.94638	Single a plus (256)	71.3888	12.00
[A-Z]*_256	[A-Z]*	12.4825	Uppercase star (256)	141.519	11.33
[a-z]*_32	a*	4.73828	Single char a star	18.8821	3.98
[a-z]+_32	a+	4.84049	Single char a plus	18.8257	3.88
[A-Z]*_32	A*	4.74038	Single char A star	9.64668	2.03
[A-Z]+_32	A+	4.86579	Single char A plus	18.2368	3.74
[a-z]*_512	[a-z]*	10.6123	Lowercase star (512)	286.276	26.97
[a-z]+_512	[a-z]+	10.4131	Lowercase plus (512)	146.678	14.08
[a-z]*_64	a*	5.79078	Single a star (64)	18.5968	3.21
[a-z]+_64	a+	2.7029	Single a plus (64)	35.7957	13.24
[a-zA-Z]*_128	a*	5.79048	Single a star (128)	36.2122	6.25
[a-zA-Z]*_32	a*	4.7374	Single char a star	9.60227	2.02
[a-zA-Z]+_32	a+	4.73769	Single char a plus	18.3571	3.87
[a-zA-Z]*_64	a*	5.79049	Single a star (64)	18.6075	3.21
[a-zA-Z]+_64	a+	5.26428	Single a plus (64)	36.7263	6.97
b*_32	b*	4.73749	Single char b star	9.58207	2.02
b+_32	b+	4.73798	Single char b plus	21.9047	4.62
char_literal_32	[a-z]shing	0.27059	Char class + literal: [a-z]shing	0.36059	1.33
complex_alt	Huck[a-zA-Z]+	Saw[a-zA-Z]+	10.1164	Saw[a-zA-Z]+	
group_alt	([A-Za-z]awyer	[A-Za-z]inn)\s	3.68479	[A-Za-z]inn)\s	
literal_Twain	Twain	2.10639	Literal: Twain	2.20919	1.04
long_range_1	Tom.{10,25}river	5.40569	Long range: Tom...river	14.2331	2.63
negated_class	[a-q][^u-z]{13}x	8.88008	Negated char class pattern	4.18949	.47
suffix_ing	[a-zA-Z]+ing	13.6832	Suffix matching: *ing	31.333	2.28
whitespace_ing	\s[a-zA-Z]{0,12}ing\s	9.04348	Whitespace + char class	11.3787	1.25
[x-z]*_32	z*	4.84008	Single char z star	9.60118	1.98
[x-z]+_32	z+	2.4327	Single char z plus	18.3097	7.52
z*_32	z*	4.81658	Single char z star	9.59848	1.99
z+_32	z+	4.75518	Single char z plus	18.2478	3.83
