A*_32	A*	3.627290	Single char A star	18.274200	5.04
9+_32	9+	5.064300	Single char 9 plus	18.112000	3.58
[0-9]*_32	[0-9]*	3.657590	Digits star (32)	17.826200	4.87
9*_32	9*	2.795300	Single char 9 star	17.034800	6.09
A+_32	A+	4.589590	Single char A plus	95.771700	20.87
[0-2]+_32	[0-2]+	4.324790	Tiny range 0-2 plus	69.518800	16.07
[0-2]*_32	[0-2]*	3.676290	Tiny range 0-2 star	17.640300	4.80
[0-9]*_256	[0-9]*	8.506190	Digits star (256)	544.145000	63.97
[0-9]+_32	[0-9]+	4.197000	Digits plus (32)	58.552600	13.95
[0-9a-fA-F]*_32	[0-9a-fA-F]*	5.243490	Hex mixed star (32)	90.488900	17.26
[0-9a-fA-F]+_32	[0-9a-fA-F]+	5.943180	Hex mixed plus (32)	94.675700	15.93
[0-9a-f]*_32	[0-9a-f]*	4.669890	Hex lowercase star (32)	148.164000	31.73
[0-9a-f]+_32	[0-9a-f]+	4.318990	Hex lowercase plus (32)	90.858400	21.04
[0-9]+_256	[0-9]+	11.647200	Digits plus (256)	513.645000	44.10
[0-9a-f]*_64	[0-9a-f]*	5.931780	Hex lowercase star (64)	257.305000	43.38
[02468]*_32	[02468]*	5.518990	Even digits star (32)	82.849200	15.01
[13579]*_32	[13579]*	5.519900	Odd digits star (32)	70.578500	12.79
[02468]+_32	[02468]+	5.042490	Even digits plus (32)	95.215000	18.88
[A-Z]+_32	[A-Z]+	4.247090	Uppercase plus (32)	78.553600	18.50
[A-Z]*_32	[A-Z]*	3.783590	Uppercase star (32)	85.037400	22.48
[13579]+_32	[13579]+	5.169880	Odd digits plus (32)	95.112000	18.40
[A-Z]*_256	[A-Z]*	10.699800	Uppercase star (256)	1052.780000	98.39
[a-bA-Bd-eD-Eg-hG-Hi-jI-Jl-mL-Mn-oN-Op-qP-Q]*_32	[a-bA-Bd-eD-Eg-hG-Hi-jI-Jl-mL-Mn-oN-Op-qP-Q]*	15.124400	8 ranges star (32)	92.245800	6.10
[a-bA-Bd-eD-Eg-hG-Hi-jI-Jl-mL-Mn-oN-Op-qP-Q]*_64	[a-bA-Bd-eD-Eg-hG-Hi-jI-Jl-mL-Mn-oN-Op-qP-Q]*	85.354100	8 ranges star (64)	223.777000	2.62
[a-c]*_32	[a-c]*	3.591290	Tiny range a-c star	93.220500	25.96
[a-c]+_32	[a-c]+	4.200390	Tiny range a-c plus	18.091800	4.31
[a-dA-Dg-jG-J]*_32	[a-dA-Dg-jG-J]*	6.145280	4 ranges star (32)	85.290100	13.88
[a-cA-Ce-gE-Gj-lJ-Lm-oM-Op-rP-R]*_32	[a-cA-Ce-gE-Gj-lJ-Lm-oM-Op-rP-R]*	12.224300	6 ranges star (32)	94.701800	7.75
[a-cA-Ce-gE-Gj-lJ-Lm-oM-Op-rP-R]*_64	[a-cA-Ce-gE-Gj-lJ-Lm-oM-Op-rP-R]*	78.354100	6 ranges star (64)	225.626000	2.88
[a-dA-Dg-jG-J]*_64	[a-dA-Dg-jG-J]*	7.624890	4 ranges star (64)	229.994000	30.16
[a-e]*_32	[a-e]*	3.444800	Small range a-e star	64.485100	18.72
[a-e]+_32	[a-e]+	4.026380	Small range a-e plus	17.462700	4.34
[a-zA-Z]*_128	[a-zA-Z]*	3.912290	Mixed case star (128)	15.470200	3.95
[a-zA-Z]*_64	[a-zA-Z]*	3.954790	Mixed case star (64)	15.334200	3.88
[a-zA-Z]*_32	[a-zA-Z]*	3.900090	Mixed case star (32)	15.604500	4.00
[a-zA-Z]+_32	[a-zA-Z]+	4.021690	Mixed case plus (32)	17.188400	4.27
[a-zA-Z]+_64	[a-zA-Z]+	3.678190	Mixed case plus (64)	16.823700	4.57
[a-z]*_128	[a-z]*	6.827280	Lowercase star (128)	495.503000	72.58
[a-z]*_16	[a-z]*	4.081890	Lowercase star (16)	17.868700	4.38
[a-z]*_256	[a-z]*	10.761300	Lowercase star (256)	1051.390000	97.70
[a-z]*_32	[a-z]*	3.560190	Lowercase star (32)	84.055100	23.61
[a-z]*_64	[a-z]*	4.380290	Lowercase star (64)	249.039000	56.85
[a-z]+_128	[a-z]+	7.582980	Lowercase plus (128)	241.981000	31.91
[a-z]+_16	[a-z]+	3.642590	Lowercase plus (16)	9.284370	2.55
[a-z]*_512	[a-z]*	61.149600	Lowercase star (512)	2173.790000	35.55
[a-z]+_32	[a-z]+	4.037090	Lowercase plus (32)	58.515100	14.49
[a-z]+_256	[a-z]+	12.048300	Lowercase plus (256)	498.397000	41.37
[a-z]+_512	[a-z]+	80.194600	Lowercase plus (512)	1122.300000	13.99
[a-z]+_64	[a-z]+	5.225090	Lowercase plus (64)	96.722100	18.51
[aeiouAEIOU]*_32	[aeiouAEIOU]*	4.732280	All vowels star (32)	167.414000	35.38
[aeiou]*_32	[aeiou]*	5.242490	Vowels star (32)	80.177600	15.29
[aeiou]+_32	[aeiou]+	4.241290	Vowels plus (32)	62.211600	14.67
[aeiou]*_64	[aeiou]*	6.835680	Vowels star (64)	166.960000	24.42
[x-z]*_32	[x-z]*	3.532000	Tiny range x-z star	94.176700	26.66
[x-z]+_32	[x-z]+	4.308590	Tiny range x-z plus	17.617200	4.09
a*_128	a*	7.772370	Single a star (128)	246.035000	31.66
a*_16	a*	4.612880	Single a star (16)	16.922400	3.67
a*_32	a*	3.516690	Single char a star	37.112000	10.55
a*_256	a*	11.965200	Single a star (256)	1063.870000	88.91
a*_64	a*	5.619790	Single a star (64)	94.625000	16.84
a+_128	a+	5.298390	Single a plus (128)	208.639000	39.38
a+_16	a+	4.131790	Single a plus (16)	17.824300	4.31
a+_256	a+	12.354300	Single a plus (256)	460.133000	37.24
a+_32	a+	4.437600	Single char a plus	94.659300	21.33
a+_64	a+	5.174790	Single a plus (64)	128.692000	24.87
b*_32	b*	3.584190	Single char b star	70.516800	19.67
b+_32	b+	4.658190	Single char b plus	94.345200	20.25
alternation_4	Tom|Sawyer|Huckleberry|Finn	0.964200	Alternation: 4 names [BitNFA]	0.902800	0.94
char_literal_32	[a-z]shing	0.528690	Char class + literal: [a-z]shing	0.541390	1.02
any_char_group	.{0,2}(Tom|Sawyer|Huckleberry|Finn)	1.108090	Any char + group	14.127000	12.75
any_char_range	.{2,4}(Tom|Sawyer|Huckleberry|Finn)	1.078090	Any char range + group	14.047500	13.03
complex_alt	Huck[a-zA-Z]+|Saw[a-zA-Z]+	59.974400	Complex alternation	16.702300	0.28
literal_Twain	Twain	1.648890	Literal: Twain	1.660700	1.01
group_alt	([A-Za-z]awyer|[A-Za-z]inn)\s	2.566400	Group alternation [BitNFA]	2.755290	1.07
long_range_1	Tom.{10,25}river	10.929700	Long range: Tom...river	67.505900	6.18
negated_class	[a-q][^u-z]{13}x	10.499400	Negated char class pattern	5.748880	0.55
z*_32	z*	3.611490	Single char z star	16.377500	4.53
suffix_ing	[a-zA-Z]+ing	24.513700	Suffix matching: *ing	41.543400	1.69
whitespace_ing	\s[a-zA-Z]{0,12}ing\s	6.778380	Whitespace + char class	9.976480	1.47
z+_32	z+	4.737990	Single char z plus	18.305600	3.86
